t_s,z_true_m,z_raw_tof,z_mov_avg_10,z_lp_iir_085,z_complementary_098,z_kf1_1state,z_kf1_2state,z_kf1_3state,z_kalman9D_fw
1.365,1.0,0.996551,0.996265,0.996965,0.999753,0.997524,0.996033,0.99579,0.99697
1.37,1.0,0.996551,0.996265,0.996965,0.999732,0.997524,0.996018,0.995737,0.996949
1.375,1.0,0.996551,0.996265,0.996965,0.99971,0.997524,0.996004,0.995684,0.996928
1.38,1.0,1.003958,0.996723,0.998014,0.999775,1.001254,0.998269,0.997679,0.997512
1.385,1.0,1.003958,0.996723,0.998014,0.999756,1.001254,0.99835,0.997699,0.997498
1.39,1.0,1.003958,0.996723,0.998014,0.999738,1.001254,0.998431,0.997719,0.997484
1.395,1.0,1.003958,0.996723,0.998014,0.999718,1.001254,0.998512,0.997739,0.99747
1.4,1.0,0.999268,0.997006,0.998202,0.999691,1.000102,0.998786,0.998132,0.997611
1.405,1.0,0.999268,0.997006,0.998202,0.999672,1.000102,0.998875,0.998168,0.997598
1.41,1.0,0.999268,0.997006,0.998202,0.999653,1.000102,0.998964,0.998205,0.997586
1.415,1.0,0.999268,0.997006,0.998202,0.999635,1.000102,0.999053,0.998243,0.997574
