t_s,roll_madgwick,roll_mahony,roll_simple_kf,roll_ekf,roll_ekf9state,roll_complementary,roll_lowpass,roll_highpass
0.975,3.3601,18.5638,27.2193,30.2185,30.8743,29.4969,30.3452,-0.0042
0.98,3.3783,18.6309,27.3504,30.3182,30.9063,29.5447,30.568,-0.0031
0.985,3.4,18.7031,27.4896,30.4424,30.9487,29.6037,30.8242,0.0014
0.99,3.4142,18.7569,27.5889,30.4171,30.9461,29.6103,30.7118,-0.0015
0.995,3.4293,18.8134,27.6938,30.4198,30.9514,29.6259,30.6788,-0.0035
1.0,3.4475,18.8654,27.7796,30.3352,30.9349,29.6149,30.4305,-0.0025
1.005,3.4634,18.9219,27.8822,30.3402,30.94,29.6301,30.4311,-0.0037
1.01,3.4825,18.9824,27.9903,30.3629,30.9522,29.653,30.4687,-0.0018
1.015,3.5006,19.0381,28.0856,30.3385,30.951,29.6599,30.3907,-0.0008
1.02,3.5181,19.0806,28.143,30.1607,30.9076,29.6157,29.9465,-0.0003
1.025,3.532,19.131,28.2305,30.1378,30.9007,29.6169,29.9301,-0.0036
1.03,3.5516,19.1919,28.3372,30.1842,30.9163,29.6441,30.0691,-0.0012
1.035,3.5677,19.2507,28.444,30.2446,30.9337,29.674,30.2366,-0.0022
1.04,3.587,19.2998,28.5158,30.1487,30.9122,29.6555,29.9982,-0.0
1.045,3.6063,19.3502,28.5909,30.0765,30.8958,29.6433,29.839,0.0021
1.05,3.6239,19.396,28.6555,29.9742,30.8692,29.6189,29.6228,0.0026
1.055,3.6395,19.4406,28.7203,29.8896,30.8444,29.5973,29.4718,0.0011
1.06,3.658,19.488,28.7875,29.8151,30.8232,29.5797,29.3491,0.0024
1.065,3.676,19.5417,28.8739,29.8316,30.8247,29.5904,29.4573,0.0033
1.07,3.6925,19.587,28.9377,29.762,30.8026,29.5721,29.3444,0.0027
1.075,3.7112,19.633,28.9995,29.6851,30.7794,29.5518,29.2154,0.0042
1.08,3.7303,19.6935,29.1032,29.791,30.8032,29.5904,29.5406,0.0061
1.085,3.7493,19.7462,29.183,29.7959,30.802,29.5973,29.5857,0.0081
1.09,3.765,19.8022,29.2795,29.8861,30.8205,29.6297,29.8416,0.0066
1.095,3.7823,19.8572,29.3688,29.94,30.832,29.6525,29.9798,0.0068
1.1,3.8021,19.9123,29.4533,29.9682,30.8393,29.6693,30.0367,0.0094
1.105,3.8181,19.9643,29.5357,30.0023,30.8458,29.6857,30.1124,0.0083
1.11,3.8329,20.0075,29.5939,29.9431,30.8277,29.6711,29.9565,0.006
1.115,3.85,20.0624,29.6824,30.009,30.8426,29.698,30.1157,0.0059
1.12,3.8684,20.1089,29.7425,29.9545,30.8286,29.6872,29.9635,0.0072
1.125,3.8833,20.1584,29.8185,29.9841,30.8327,29.7007,30.0397,0.0049
1.13,3.9004,20.2118,29.9012,30.0364,30.8445,29.7235,30.1595,0.0049
1.135,3.9188,20.2651,29.9811,30.0749,30.8544,29.7431,30.2324,0.0061
1.14,3.9303,20.307,30.0398,30.0502,30.8438,29.7379,30.1612,0.0005
1.145,3.9501,20.3569,30.1056,30.0336,30.8412,29.7406,30.0974,0.0033
1.15,3.9715,20.4103,30.1784,30.0459,30.8467,29.7534,30.108,0.0077
1.155,3.9905,20.4596,30.2434,30.0378,30.8453,29.7579,30.0745,0.0095
1.16,4.0093,20.5116,30.3169,30.0697,30.8536,29.775,30.1434,0.0112
1.165,4.028,20.5506,30.3507,29.9422,30.8227,29.7403,29.8163,0.0128
1.17,4.044,20.6021,30.4282,30.0121,30.8368,29.7664,30.0091,0.0116
1.175,4.0612,20.6467,30.4813,29.9794,30.8275,29.7607,29.9293,0.0117
1.18,4.0778,20.6876,30.5248,29.9146,30.8094,29.7435,29.7794,0.0111
1.185,4.0981,20.7342,30.5772,29.8823,30.8013,29.7386,29.7133,0.0143
1.19,4.1152,20.7838,30.6457,29.9305,30.81,29.7572,29.8567,0.0143
1.195,4.1329,20.8232,30.6812,29.8444,30.787,29.7329,29.6558,0.0148
1.2,4.1521,20.8688,30.7326,29.8268,30.7807,29.7307,29.6365,0.0168
1.205,4.1732,20.9211,30.8003,29.8735,30.7913,29.7506,29.7702,0.0208
1.21,4.1959,20.9691,30.8511,29.8485,30.7863,29.7487,29.7116,0.0264
1.215,4.2131,21.0192,30.9199,29.918,30.7995,29.7734,29.9022,0.0265
1.22,4.2319,21.0714,30.9914,29.9935,30.8162,29.8021,30.0857,0.0282
1.225,4.2519,21.1107,31.0203,29.8936,30.7927,29.7752,29.8205,0.031
1.23,4.2689,21.1515,31.0604,29.8568,30.7807,29.7655,29.7417,0.0309
1.235,4.2892,21.1904,31.087,29.7612,30.757,29.7383,29.5175,0.0341
1.24,4.3059,21.238,31.1483,29.8241,30.7668,29.7589,29.709,0.0337
1.245,4.3291,21.2784,31.1734,29.7228,30.7436,29.7313,29.4645,0.0397
1.25,4.3436,21.3205,31.2219,29.7497,30.7427,29.7381,29.5751,0.0371
1.255,4.3647,21.3633,31.2586,29.7115,30.732,29.7285,29.4987,0.041
1.26,4.3791,21.4,31.2902,29.6783,30.7169,29.7155,29.4553,0.0384
1.265,4.3934,21.4431,31.342,29.7307,30.7213,29.73,29.6238,0.0355
1.27,4.4081,21.4646,31.3257,29.5112,30.6635,29.6567,29.1078,0.0331
1.275,4.424,21.5119,31.3871,29.6115,30.6783,29.6856,29.4167,0.0318
