run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scene_label,truth
2,0,patrol,safe,no person detected; risk=safe,45.5,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",202.4,247.9,,gpt4o,cluttered,caution
3,0,patrol,safe,no person detected; risk=safe,38.6,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",217.9,256.5,,gpt4o,cluttered,caution
4,0,patrol,safe,no person detected; risk=safe,40.8,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",215.1,255.9,,gpt4o,cluttered,caution
5,0,patrol,safe,no person detected; risk=safe,29.7,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",211.6,241.3,,gpt4o,cluttered,caution
1,0,patrol,safe,no person detected; risk=safe,37.8,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",216.2,254.0,,gpt4o,door_open,safe
2,0,patrol,safe,no person detected; risk=safe,28.6,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",194.6,223.2,,gpt4o,door_open,safe
3,0,patrol,safe,no person detected; risk=safe,31.4,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",219.1,250.5,,gpt4o,door_open,safe
4,0,patrol,safe,no person detected; risk=safe,29.2,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",208.3,237.5,,gpt4o,door_open,safe
5,0,patrol,safe,no person detected; risk=safe,38.7,"YOLO detections: train (conf=0.22, depth_m=3.6m [DA v2], src=COCO, bbox=[0.5,0.4,317.9,238.1]); window (conf=0.34, depth_m=3.2m [DA v2], src=YOLO-W, bbox=[0.0,120.2,16.8,149.5])",221.4,260.1,,gpt4o,door_open,safe
1,0,patrol,hazard,person detected; conf=0.391; risk=hazard,36.0,YOLO detections: none,216.2,252.2,,gpt4o,person_far,caution
2,0,patrol,hazard,person detected; conf=0.391; risk=hazard,31.2,YOLO detections: none,217.2,248.4,,gpt4o,person_far,caution
3,0,patrol,hazard,person detected; conf=0.391; risk=hazard,35.0,YOLO detections: none,219.6,254.6,,gpt4o,person_far,caution
4,0,patrol,hazard,person detected; conf=0.391; risk=hazard,38.8,YOLO detections: none,226.1,264.9,,gpt4o,person_far,caution
5,0,patrol,hazard,person detected; conf=0.391; risk=hazard,26.5,YOLO detections: none,220.9,247.4,,gpt4o,person_far,caution
1,0,patrol,hazard,no person detected; risk=hazard,36.4,YOLO detections: none,215.8,252.2,,gpt4o,blocked_lens,hazard
2,0,patrol,hazard,no person detected; risk=hazard,16.8,YOLO detections: none,215.1,231.9,,gpt4o,blocked_lens,hazard
3,0,patrol,hazard,no person detected; risk=hazard,38.8,YOLO detections: none,242.8,281.6,,gpt4o,blocked_lens,hazard
4,0,patrol,hazard,no person detected; risk=hazard,31.1,YOLO detections: none,210.2,241.3,,gpt4o,blocked_lens,hazard
5,0,patrol,hazard,no person detected; risk=hazard,39.3,YOLO detections: none,224.5,263.8,,gpt4o,blocked_lens,hazard
1,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",224.7,254.7,,gpt4o_mini,person_near,hazard
2,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",213.6,251.2,,gpt4o_mini,person_near,hazard
3,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",232.0,271.3,,gpt4o_mini,person_near,hazard
4,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",229.1,265.6,,gpt4o_mini,person_near,hazard
5,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,40.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.4,258.5,,gpt4o_mini,person_near,hazard
1,0,patrol,hazard,no person detected; risk=hazard,33.9,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",216.6,250.5,,gpt4o_mini,wall_close,hazard
2,0,patrol,hazard,no person detected; risk=hazard,36.6,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",255.9,292.5,,gpt4o_mini,wall_close,hazard
3,0,patrol,hazard,no person detected; risk=hazard,40.6,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",234.5,275.1,,gpt4o_mini,wall_close,hazard
4,0,patrol,hazard,no person detected; risk=hazard,30.6,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",221.2,251.8,,gpt4o_mini,wall_close,hazard
5,0,patrol,hazard,no person detected; risk=hazard,35.8,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",227.1,262.9,,gpt4o_mini,wall_close,hazard
1,0,patrol,safe,no person detected; risk=safe,29.3,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",225.9,255.2,,gpt4o_mini,object_table,caution
2,0,patrol,safe,no person detected; risk=safe,31.0,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",205.9,236.9,,gpt4o_mini,object_table,caution
3,0,patrol,safe,no person detected; risk=safe,30.1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",211.6,241.7,,gpt4o_mini,object_table,caution
