run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
2,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",233.3,262.8,,gpt4o_mini,alert_room,person_near
2,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,17.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",220.9,238.7,,gpt4o_mini,alert_room,person_near
2,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.9,247.0,,gpt4o_mini,alert_room,person_near
2,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",222.2,261.7,,gpt4o_mini,alert_room,person_near
2,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.2,244.4,,gpt4o_mini,alert_room,person_near
2,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,40.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.4,263.9,,gpt4o_mini,alert_room,person_near
2,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,42.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.1,261.8,,gpt4o_mini,alert_room,person_near
2,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.0,246.4,,gpt4o_mini,alert_room,person_near
2,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",211.2,248.6,,gpt4o_mini,alert_room,person_near
2,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",220.6,251.8,,gpt4o_mini,alert_room,person_near
2,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,38.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",211.6,250.5,,gpt4o_mini,alert_room,person_near
2,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.4,249.7,,gpt4o_mini,alert_room,person_near
2,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.4,254.0,,gpt4o_mini,alert_room,person_near
2,13,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,32.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.7,250.7,,gpt4o_mini,alert_room,person_near
2,14,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",215.0,244.7,,gpt4o_mini,alert_room,person_near
2,15,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,32.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.9,256.3,,gpt4o_mini,alert_room,person_near
2,16,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,34.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",245.0,279.9,,gpt4o_mini,alert_room,person_near
3,0,room_event,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,20.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",229.9,250.7,,gpt4o_mini,alert_room,person_near
3,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.3,256.2,,gpt4o_mini,alert_room,person_near
3,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,37.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",207.8,245.2,,gpt4o_mini,alert_room,person_near
3,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,24.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.7,243.4,,gpt4o_mini,alert_room,person_near
3,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.6,258.0,,gpt4o_mini,alert_room,person_near
3,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",212.8,254.6,,gpt4o_mini,alert_room,person_near
3,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,27.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",201.4,228.9,,gpt4o_mini,alert_room,person_near
3,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.8,255.9,,gpt4o_mini,alert_room,person_near
3,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.4,258.6,,gpt4o_mini,alert_room,person_near
3,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.9,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",221.6,253.5,,gpt4o_mini,alert_room,person_near
3,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.8,257.9,,gpt4o_mini,alert_room,person_near
3,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.3,244.6,,gpt4o_mini,alert_room,person_near
3,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.4,261.1,,gpt4o_mini,alert_room,person_near
3,13,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,45.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",200.7,246.3,,gpt4o_mini,alert_room,person_near
3,14,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,22.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",229.8,252.6,,gpt4o_mini,alert_room,person_near
3,15,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.1,258.8,,gpt4o_mini,alert_room,person_near
